x,y,z,classification,gpstime,scan_angle,intensity,number_of_returns,return_number,point_source_ID,edge_of_flight_line_flag,direction_of_scan_flag,user_data,red_channel,green_channel,blue_channel
1293492.330,5044347.300,310.010,3,353620819.273175,10.002,19200,1,1,6,0,0,0,0,0,0
1293493.020,5044346.880,310.070,3,353620819.273182,10.002,19968,1,1,6,0,0,0,0,0,0
1293493.670,5044346.470,310.370,3,353620819.273189,10.002,14848,1,1,6,0,0,0,0,0,0
1293494.130,5044346.140,311.690,3,353620819.273195,10.998,10496,1,1,6,0,0,0,0,0,0
1293494.910,5044345.680,311.280,3,353620819.273202,10.998,16384,1,1,6,0,0,0,0,0,0
1293495.600,5044345.260,311.360,3,353620819.273209,10.998,11264,1,1,6,0,0,0,0,0,0
1293496.240,5044344.850,311.660,3,353620819.273216,10.998,7424,1,1,6,0,0,0,0,0,0
1293496.880,5044344.450,312.020,3,353620819.273222,10.998,5632,1,1,6,0,0,0,0,0,0
1293497.610,5044344.010,311.860,3,353620819.273229,10.998,7680,1,1,6,0,0,0,0,0,0
1293498.150,5044343.650,312.660,3,353620819.273236,10.998,4864,1,1,6,0,0,0,0,0,0
1293498.860,5044343.220,312.650,4,353620819.273243,10.998,12800,1,1,6,0,0,0,0,0,0
1293499.440,5044343.090,312.970,4,353620819.279128,10.998,15616,1,1,6,0,0,0,0,0,0
1293498.790,5044343.500,312.750,4,353620819.279135,10.998,10752,1,1,6,0,0,0,0,0,0
1293498.150,5044343.910,312.360,3,353620819.279142,10.998,5376,1,1,6,0,0,0,0,0,0
1293497.700,5044344.230,311.050,2,353620819.279149,10.998,6144,1,1,6,0,0,0,0,0,0
1293496.800,5044344.740,312.050,3,353620819.279155,10.998,4352,1,1,6,0,0,0,0,0,0
1293496.170,5044345.140,311.660,3,353620819.279162,10.998,7168,1,1,6,0,0,0,0,0,0
1293495.520,5044345.550,311.400,3,353620819.279169,10.998,10496,1,1,6,0,0,0,0,0,0
1293494.900,5044345.950,310.930,3,353620819.279176,10.998,14336,1,1,6,0,0,0,0,0,0
1293494.370,5044346.300,309.970,2,353620819.279183,10.998,13312,1,1,6,0,0,0,0,0,0
1293493.620,5044346.750,310.130,3,353620819.279190,10.002,14848,1,1,6,0,0,0,0,0,0
1293492.910,5044347.190,310.180,3,353620819.279197,10.002,17152,1,1,6,0,0,0,0,0,0
1293492.260,5044347.600,309.860,3,353620819.279203,10.002,16896,1,1,6,0,0,0,0,0,0
1293491.670,5044347.980,309.140,3,353620819.279210,10.002,20224,1,1,6,0,0,0,0,0,0
1293491.000,5044348.400,308.920,2,353620819.279217,10.002,18432,1,1,6,0,0,0,0,0,0
1293490.090,5044348.920,310.000,3,353620819.279224,10.002,15360,1,1,6,0,0,0,0,0,0
1293490.110,5044349.650,310.310,3,353620819.293063,10.002,16384,1,1,6,0,0,0,0,0,0
1293490.930,5044349.180,309.750,3,353620819.293070,10.002,12544,1,1,6,0,0,0,0,0,0
1293491.660,5044348.730,309.610,3,353620819.293076,10.002,12032,1,1,6,0,0,0,0,0,0
1293492.430,5044348.270,309.290,3,353620819.293083,10.002,20224,1,1,6,0,0,0,0,0,0
1293493.050,5044347.880,309.760,3,353620819.293090,10.002,23296,1,1,6,0,0,0,0,0,0
1293493.700,5044347.470,310.080,3,353620819.293097,10.002,18944,1,1,6,0,0,0,0,0,0
1293494.440,5044347.020,309.910,2,353620819.293104,10.002,18432,1,1,6,0,0,0,0,0,0
1293495.070,5044346.630,310.300,2,353620819.293110,10.998,10752,1,1,6,0,0,0,0,0,0
1293495.560,5044346.290,311.470,3,353620819.293117,10.998,7168,1,1,6,0,0,0,0,0,0
1293496.040,5044345.950,312.640,3,353620819.293124,10.998,7680,1,1,6,0,0,0,0,0,0
1293496.730,5044345.530,312.730,3,353620819.293131,10.998,4864,1,1,6,0,0,0,0,0,0
1293497.550,5044345.050,312.110,3,353620819.293138,10.998,8960,1,1,6,0,0,0,0,0,0
1293498.180,5044344.650,312.440,3,353620819.293144,10.998,12288,1,1,6,0,0,0,0,0,0
1293498.870,5044344.230,312.480,3,353620819.293151,10.998,7424,1,1,6,0,0,0,0,0,0
1293499.490,5044343.830,312.900,4,353620819.293158,10.998,16384,1,1,6,0,0,0,0,0,0
1293500.170,5044343.420,313.000,4,353620819.293165,10.998,16896,1,1,6,0,0,0,0,0,0
1293501.020,5044343.210,313.090,4,353620819.299043,10.998,13312,1,1,6,0,0,0,0,0,0
1293500.300,5044343.640,313.200,4,353620819.299050,10.998,13312,1,1,6,0,0,0,0,0,0
1293499.650,5044344.050,312.910,4,353620819.299057,10.998,13568,1,1,6,0,0,0,0,0,0
1293499.140,5044344.400,311.910,3,353620819.299064,10.998,8960,1,1,6,0,0,0,0,0,0
1293498.350,5044344.870,312.380,3,353620819.299071,10.998,15872,1,1,6,0,0,0,0,0,0
1293497.730,5044345.260,311.910,3,353620819.299078,10.998,9472,1,1,6,0,0,0,0,0,0
1293497.040,5044345.690,311.860,3,353620819.299084,10.998,7168,1,1,6,0,0,0,0,0,0
1293496.200,5044346.180,312.540,3,353620819.299091,10.998,7424,1,1,6,0,0,0,0,0,0
1293495.450,5044346.630,312.760,4,353620819.299098,10.998,4352,1,1,6,0,0,0,0,0,0
1293494.730,5044347.060,312.810,4,353620819.299105,10.998,1792,1,1,6,0,0,0,0,0,0
1293494.550,5044347.270,309.990,2,353620819.299111,10.002,14848,1,1,6,0,0,0,0,0,0
1293493.790,5044347.730,310.270,3,353620819.299118,10.002,13824,1,1,6,0,0,0,0,0,0
1293493.170,5044348.130,309.730,3,353620819.299125,10.002,18688,1,1,6,0,0,0,0,0,0
1293492.570,5044348.520,309.190,2,353620819.299132,10.002,17920,1,1,6,0,0,0,0,0,0
1293491.740,5044349.000,309.770,3,353620819.299139,10.002,14848,1,1,6,0,0,0,0,0,0
1293491.100,5044349.410,309.400,3,353620819.299145,10.002,13312,1,1,6,0,0,0,0,0,0
1293490.210,5044349.920,310.360,3,353620819.299152,10.002,13312,1,1,6,0,0,0,0,0,0
1293490.350,5044350.630,310.420,3,353620819.312985,10.002,16128,1,1,6,0,0,0,0,0,0
1293491.020,5044350.210,310.630,3,353620819.312991,10.002,10752,1,1,6,0,0,0,0,0,0
1293491.880,5044349.710,309.790,2,353620819.312998,10.002,14848,1,1,6,0,0,0,0,0,0
1293492.040,5044349.510,312.790,4,353620819.313005,10.002,2816,1,1,6,0,0,0,0,0,0
1293492.750,5044349.070,312.750,4,353620819.313012,10.002,3840,1,1,6,0,0,0,0,0,0
1293493.610,5044348.580,311.940,3,353620819.313019,10.002,7424,1,1,6,0,0,0,0,0,0
1293494.310,5044348.150,312.000,3,353620819.313025,10.002,10752,1,1,6,0,0,0,0,0,0
1293494.950,5044347.750,312.320,3,353620819.313032,10.998,14592,1,1,6,0,0,0,0,0,0
1293495.640,5044347.320,312.400,3,353620819.313039,10.998,10752,1,1,6,0,0,0,0,0,0
1293496.450,5044346.850,311.860,3,353620819.313046,10.998,8960,1,1,6,0,0,0,0,0,0
1293497.150,5044346.420,311.860,2,353620819.313053,10.998,7680,1,1,6,0,0,0,0,0,0
1293497.850,5044345.990,311.870,2,353620819.313060,10.998,8192,1,1,6,0,0,0,0,0,0
1293498.530,5044345.570,311.980,3,353620819.313066,10.998,9984,1,1,6,0,0,0,0,0,0
